Cuts,CoverCuts,FlowCoverCuts,LiftProjectCuts,MIRCuts,RelaxLiftCuts,SubMIPCuts,CutPasses,GomoryPasses,Gap
1,1,0,0,1,0,1,1,0,0.6955
1,1,0,0,1,0,1,1,1,0.6955
1,1,0,0,1,0,1,2,0,0.6955
1,1,0,0,1,0,1,2,1,0.6955
1,1,0,0,1,0,2,0,0,0.6941
1,1,0,0,1,0,2,0,1,0.6941
1,1,0,0,1,0,2,1,0,0.6955
1,1,0,0,1,0,2,1,1,0.6955
1,1,0,0,1,0,2,2,0,0.6955
1,1,0,0,1,0,2,2,1,0.6955
1,1,0,0,1,1,1,0,0,0.6941
1,1,0,0,1,1,1,0,1,0.6941
1,1,0,0,1,1,1,1,0,0.6955
1,1,0,0,1,1,1,1,1,0.6955
1,1,0,0,1,1,1,2,0,0.6955
1,1,0,0,1,1,1,2,1,0.6955
1,1,0,0,1,1,2,0,0,0.6941
1,1,0,0,1,1,2,0,1,0.6941
1,1,0,0,1,1,2,1,0,0.6955
1,1,0,0,1,1,2,1,1,0.6955
1,1,0,0,1,1,2,2,0,0.6955
1,1,0,0,1,1,2,2,1,0.6955
1,1,0,1,0,0,1,0,0,0.6941
1,1,0,1,0,0,1,0,1,0.6941
1,1,0,1,0,0,1,1,0,0.6955
1,1,0,1,0,0,1,1,1,0.6955
1,1,0,1,0,0,1,2,0,0.6955
1,1,0,1,0,0,1,2,1,0.6955
1,1,0,1,0,0,2,0,0,0.6941
1,1,0,1,0,0,2,0,1,0.6941
1,1,0,1,0,0,2,1,0,0.6955
1,1,0,1,0,0,2,1,1,0.6955
1,1,0,1,0,0,2,2,0,0.6955
1,1,0,1,0,0,2,2,1,0.6955
1,1,0,1,0,1,1,0,0,0.6941
1,1,0,1,0,1,1,0,1,0.6941
1,1,0,1,0,1,1,1,0,0.6955
1,1,0,1,0,1,1,1,1,0.6955
1,1,0,1,0,1,1,2,0,0.6955
1,1,0,1,0,1,1,2,1,0.6955
1,1,0,1,0,1,2,0,0,0.6941
1,1,0,1,0,1,2,0,1,0.6941
1,1,0,1,0,1,2,1,0,0.6955
1,1,0,1,0,1,2,1,1,0.6955
1,1,0,1,0,1,2,2,0,0.6955
1,1,0,1,0,1,2,2,1,0.6955
1,1,0,1,1,0,1,0,0,0.6941
1,1,0,1,1,0,1,0,1,0.6941
1,1,0,1,1,0,1,1,0,0.6955
1,1,0,1,1,0,1,1,1,0.6955
1,1,0,1,1,0,1,2,0,0.6955
1,1,0,1,1,0,1,2,1,0.6955
1,1,0,1,1,0,2,0,0,0.6941
1,1,0,1,1,0,2,0,1,0.6941
1,1,0,1,1,0,2,1,0,0.6955
1,1,0,1,1,0,2,1,1,0.6955
1,1,0,1,1,0,2,2,0,0.6955
1,1,0,1,1,0,2,2,1,0.6955
1,1,0,1,1,1,1,0,0,0.6941
1,1,0,1,1,1,1,0,1,0.6941
1,1,0,1,1,1,1,1,0,0.6955
1,1,0,1,1,1,1,1,1,0.6955
1,1,0,1,1,1,1,2,0,0.6955
1,1,0,1,1,1,1,2,1,0.6955
1,1,0,1,1,1,2,0,0,0.6941
1,1,0,1,1,1,2,0,1,0.6941
1,1,0,1,1,1,2,1,0,0.6955
1,1,0,1,1,1,2,1,1,0.6955
1,1,0,1,1,1,2,2,0,0.6955
1,1,0,1,1,1,2,2,1,0.6955
1,1,1,0,0,0,1,0,0,0.6941
1,1,1,0,0,0,1,0,1,0.6941
1,1,1,0,0,0,1,1,0,0.6955
1,1,1,0,0,0,1,1,1,0.6955
1,1,1,0,0,0,1,2,0,0.6955
1,1,1,0,0,0,1,2,1,0.6955
1,1,1,0,0,0,2,0,0,0.6941
1,1,1,0,0,0,2,0,1,0.6941
1,1,1,0,0,0,2,1,0,0.6955
1,1,1,0,0,0,2,1,1,0.6955
1,1,1,0,0,0,2,2,0,0.6955
1,1,1,0,0,0,2,2,1,0.6955
1,1,1,0,0,1,1,0,0,0.6941
1,1,1,0,0,1,1,0,1,0.6941
1,1,1,0,0,1,1,1,0,0.6955
1,1,1,0,0,1,1,1,1,0.6955
1,1,1,0,0,1,1,2,0,0.6955
1,1,1,0,0,1,1,2,1,0.6955
1,1,1,0,0,1,2,0,0,0.6941
1,1,1,0,0,1,2,0,1,0.6941
1,1,1,0,0,1,2,1,0,0.6955
1,1,1,0,0,1,2,1,1,0.6955
1,1,1,0,0,1,2,2,0,0.6955
1,1,1,0,0,1,2,2,1,0.6955
1,1,1,0,1,0,1,0,0,0.6941
1,1,1,0,1,0,1,0,1,0.6941
1,1,1,0,1,0,1,1,0,0.6955
1,1,1,0,1,0,1,1,1,0.6955
1,1,1,0,1,0,1,2,0,0.6955
1,1,1,0,1,0,1,2,1,0.6955
1,1,1,0,1,0,2,0,0,0.6941
1,1,1,0,1,0,2,0,1,0.6941
1,1,1,0,1,0,2,1,0,0.6955
1,1,1,0,1,0,2,1,1,0.6955
1,1,1,0,1,0,2,2,0,0.6955
1,1,1,0,1,0,2,2,1,0.6955
1,1,1,0,1,1,1,0,0,0.6941
1,1,1,0,1,1,1,0,1,0.6941
1,1,1,0,1,1,1,1,0,0.6955
1,1,1,0,1,1,1,1,1,0.6955
1,1,1,0,1,1,1,2,0,0.6955
1,1,1,0,1,1,1,2,1,0.6955
1,1,1,0,1,1,2,0,0,0.6941
1,1,1,0,1,1,2,0,1,0.6941
1,1,1,0,1,1,2,1,0,0.6955
1,1,1,0,1,1,2,1,1,0.6955
1,1,1,0,1,1,2,2,0,0.6955
1,1,1,0,1,1,2,2,1,0.6955
1,1,1,1,0,0,1,0,0,0.6941
1,1,1,1,0,0,1,0,1,0.6941
1,1,1,1,0,0,1,1,0,0.6955
1,1,1,1,0,0,1,1,1,0.6955
1,1,1,1,0,0,1,2,0,0.6955
1,1,1,1,0,0,1,2,1,0.6955
1,1,1,1,0,0,2,0,0,0.6941
1,1,1,1,0,0,2,0,1,0.6941
1,1,1,1,0,0,2,1,0,0.6955
1,1,1,1,0,0,2,1,1,0.6955
1,1,1,1,0,0,2,2,0,0.6955
1,1,1,1,0,0,2,2,1,0.6955
1,1,1,1,0,1,1,0,0,0.6941
1,1,1,1,0,1,1,0,1,0.6941
1,1,1,1,0,1,1,1,0,0.6955
1,1,1,1,0,1,1,1,1,0.6955
1,1,1,1,0,1,1,2,0,0.6955
1,1,1,1,0,1,1,2,1,0.6955
1,1,1,1,0,1,2,0,0,0.6941
1,1,1,1,0,1,2,0,1,0.6941
1,1,1,1,0,1,2,1,0,0.6955
1,1,1,1,0,1,2,1,1,0.6955
1,1,1,1,0,1,2,2,0,0.6955
1,1,1,1,0,1,2,2,1,0.6955
1,1,1,1,1,0,1,0,0,0.6941
1,1,1,1,1,0,1,0,1,0.6941
1,1,1,1,1,0,1,1,0,0.6955
1,1,1,1,1,0,1,1,1,0.6955
1,1,1,1,1,0,1,2,0,0.6955
1,1,1,1,1,0,1,2,1,0.6955
1,1,1,1,1,0,2,0,0,0.6941
1,1,1,1,1,0,2,0,1,0.6941
1,1,1,1,1,0,2,1,0,0.6955
1,1,1,1,1,0,2,1,1,0.6955
1,1,1,1,1,0,2,2,0,0.6955
1,1,1,1,1,0,2,2,1,0.6955
1,1,1,1,1,1,1,0,0,0.6941
1,1,1,1,1,1,1,0,1,0.6941
1,1,1,1,1,1,1,1,0,0.6955
1,1,1,1,1,1,1,1,1,0.6955
1,1,1,1,1,1,1,2,0,0.6955
1,1,1,1,1,1,1,2,1,0.6955
1,1,1,1,1,1,2,0,0,0.6941
1,1,1,1,1,1,2,0,1,0.6941
1,1,1,1,1,1,2,1,0,0.6955
1,1,1,1,1,1,2,1,1,0.6955
1,1,1,1,1,1,2,2,0,0.6955
1,1,1,1,1,1,2,2,1,0.6955
2,0,0,0,0,0,1,0,0,0.6941
2,0,0,0,0,0,1,0,1,0.6941
2,0,0,0,0,0,1,1,0,0.6955
2,0,0,0,0,0,1,1,1,0.6955
2,0,0,0,0,0,1,2,0,0.6955
2,0,0,0,0,0,1,2,1,0.6955
2,0,0,0,0,0,2,0,0,0.6941
2,0,0,0,0,0,2,0,1,0.6941
2,0,0,0,0,0,2,1,0,0.6955
2,0,0,0,0,0,2,1,1,0.6955
2,0,0,0,0,0,2,2,0,0.6955
2,0,0,0,0,0,2,2,1,0.6955
2,0,0,0,0,1,1,0,0,0.6941
2,0,0,0,0,1,1,0,1,0.6941
2,0,0,0,0,1,1,1,0,0.6955
2,0,0,0,0,1,1,1,1,0.6955
2,0,0,0,0,1,1,2,0,0.6955
2,0,0,0,0,1,1,2,1,0.6955
2,0,0,0,0,1,2,0,0,0.6941
2,0,0,0,0,1,2,0,1,0.6941
2,0,0,0,0,1,2,1,0,0.6955
2,0,0,0,0,1,2,1,1,0.6955
2,0,0,0,0,1,2,2,0,0.6955
2,0,0,0,0,1,2,2,1,0.6955
2,0,0,0,1,0,1,0,0,0.6941
2,0,0,0,1,0,1,0,1,0.6941
2,0,0,0,1,0,1,1,0,0.6955
2,0,0,0,1,0,1,1,1,0.6955
2,0,0,0,1,0,1,2,0,0.6955
2,0,0,0,1,0,1,2,1,0.6955
2,0,0,0,1,0,2,0,0,0.6941
2,0,0,0,1,0,2,0,1,0.6941
2,0,0,0,1,0,2,1,0,0.6955
2,0,0,0,1,0,2,1,1,0.6955
2,0,0,0,1,0,2,2,0,0.6955
2,0,0,0,1,0,2,2,1,0.6955
2,0,0,0,1,1,1,0,0,0.6941
2,0,0,0,1,1,1,0,1,0.6941
2,0,0,0,1,1,1,1,0,0.6955
2,0,0,0,1,1,1,1,1,0.6955
2,0,0,0,1,1,1,2,0,0.6955
2,0,0,0,1,1,1,2,1,0.6955
2,0,0,0,1,1,2,0,0,0.6941
2,0,0,0,1,1,2,0,1,0.6941
2,0,0,0,1,1,2,1,0,0.6955
2,0,0,0,1,1,2,1,1,0.6955
2,0,0,0,1,1,2,2,0,0.6955
2,0,0,0,1,1,2,2,1,0.6955
2,0,0,1,0,0,1,0,0,0.6941
2,0,0,1,0,0,1,0,1,0.6941
2,0,0,1,0,0,1,1,0,0.6955
2,0,0,1,0,0,1,1,1,0.6955
2,0,0,1,0,0,1,2,0,0.6955
2,0,0,1,0,0,1,2,1,0.6955
2,0,0,1,0,0,2,0,0,0.6941
2,0,0,1,0,0,2,0,1,0.6941
2,0,0,1,0,0,2,1,0,0.6955
2,0,0,1,0,0,2,1,1,0.6955
2,0,0,1,0,0,2,2,0,0.6955
2,0,0,1,0,0,2,2,1,0.6955
2,0,0,1,0,1,1,0,0,0.6941
2,0,0,1,0,1,1,0,1,0.6941
2,0,0,1,0,1,1,1,0,0.6955
2,0,0,1,0,1,1,1,1,0.6955
2,0,0,1,0,1,1,2,0,0.6955
2,0,0,1,0,1,1,2,1,0.6955
2,0,0,1,0,1,2,0,0,0.6941
2,0,0,1,0,1,2,0,1,0.6941
2,0,0,1,0,1,2,1,0,0.6955
2,0,0,1,0,1,2,1,1,0.6955
2,0,0,1,0,1,2,2,0,0.6955
2,0,0,1,0,1,2,2,1,0.6955
2,0,0,1,1,0,1,0,0,0.6941
2,0,0,1,1,0,1,0,1,0.6941
2,0,0,1,1,0,1,1,0,0.6955
2,0,0,1,1,0,1,1,1,0.6955
2,0,0,1,1,0,1,2,0,0.6955
2,0,0,1,1,0,1,2,1,0.6955
2,0,0,1,1,0,2,0,0,0.6941
2,0,0,1,1,0,2,0,1,0.6941
2,0,0,1,1,0,2,1,0,0.6955
2,0,0,1,1,0,2,1,1,0.6955
2,0,0,1,1,0,2,2,0,0.6955
2,0,0,1,1,0,2,2,1,0.6955
2,0,0,1,1,1,1,0,0,0.6941
2,0,0,1,1,1,1,0,1,0.6941
2,0,0,1,1,1,1,1,0,0.6955
2,0,0,1,1,1,1,1,1,0.6955
2,0,0,1,1,1,1,2,0,0.6955
2,0,0,1,1,1,1,2,1,0.6955
2,0,0,1,1,1,2,0,0,0.6941
2,0,0,1,1,1,2,0,1,0.6941
2,0,0,1,1,1,2,1,0,0.6955
2,0,0,1,1,1,2,1,1,0.6955
2,0,0,1,1,1,2,2,0,0.6955
2,0,0,1,1,1,2,2,1,0.6955
2,0,1,0,0,0,1,0,0,0.6941
2,0,1,0,0,0,1,0,1,0.6941
2,0,1,0,0,0,1,1,0,0.6955
2,0,1,0,0,0,1,1,1,0.6955
2,0,1,0,0,0,1,2,0,0.6955
2,0,1,0,0,0,1,2,1,0.6955
2,0,1,0,0,0,2,0,0,0.6941
2,0,1,0,0,0,2,0,1,0.6941
2,0,1,0,0,0,2,1,0,0.6955
2,0,1,0,0,0,2,1,1,0.6955
2,0,1,0,0,0,2,2,0,0.6955
2,0,1,0,0,0,2,2,1,0.6955
2,0,1,0,0,1,1,0,0,0.6941
2,0,1,0,0,1,1,0,1,0.6941
2,0,1,0,0,1,1,1,0,0.6955
2,0,1,0,0,1,1,1,1,0.6955
2,0,1,0,0,1,1,2,0,0.6955
2,0,1,0,0,1,1,2,1,0.6955
2,0,1,0,0,1,2,0,0,0.6941
2,0,1,0,0,1,2,0,1,0.6941
2,0,1,0,0,1,2,1,0,0.6955
2,0,1,0,0,1,2,1,1,0.6955
2,0,1,0,0,1,2,2,0,0.6955
2,0,1,0,0,1,2,2,1,0.6955
2,0,1,0,1,0,1,0,0,0.6941
2,0,1,0,1,0,1,0,1,0.6941
2,0,1,0,1,0,1,1,0,0.6955
2,0,1,0,1,0,1,1,1,0.6955
2,0,1,0,1,0,1,2,0,0.6955
2,0,1,0,1,0,1,2,1,0.6955
2,0,1,0,1,0,2,0,0,0.6941
2,0,1,0,1,0,2,0,1,0.6941
2,0,1,0,1,0,2,1,0,0.6955
2,0,1,0,1,0,2,1,1,0.6955
2,0,1,0,1,0,2,2,0,0.6955
2,0,1,0,1,0,2,2,1,0.6955
2,0,1,0,1,1,1,0,0,0.6941
2,0,1,0,1,1,1,0,1,0.6941
2,0,1,0,1,1,1,1,0,0.6955
2,0,1,0,1,1,1,1,1,0.6955
2,0,1,0,1,1,1,2,0,0.6955
2,0,1,0,1,1,1,2,1,0.6955
2,0,1,0,1,1,2,0,0,0.6941
2,0,1,0,1,1,2,0,1,0.6941
2,0,1,0,1,1,2,1,0,0.6955
2,0,1,0,1,1,2,1,1,0.6955
2,0,1,0,1,1,2,2,0,0.6955
2,0,1,0,1,1,2,2,1,0.6955
2,0,1,1,0,0,1,0,0,0.6941
2,0,1,1,0,0,1,0,1,0.6941
2,0,1,1,0,0,1,1,0,0.6955
2,0,1,1,0,0,1,1,1,0.6955
2,0,1,1,0,0,1,2,0,0.6955
2,0,1,1,0,0,1,2,1,0.6955
2,0,1,1,0,0,2,0,0,0.6941
2,0,1,1,0,0,2,0,1,0.6941
2,0,1,1,0,0,2,1,0,0.6955
2,0,1,1,0,0,2,1,1,0.6955
2,0,1,1,0,0,2,2,0,0.6955
2,0,1,1,0,0,2,2,1,0.6955
2,0,1,1,0,1,1,0,0,0.6941
2,0,1,1,0,1,1,0,1,0.6941
2,0,1,1,0,1,1,1,0,0.6955
2,0,1,1,0,1,1,1,1,0.6955
2,0,1,1,0,1,1,2,0,0.6955
2,0,1,1,0,1,1,2,1,0.6955
2,0,1,1,0,1,2,0,0,0.6941
2,0,1,1,0,1,2,0,1,0.6941
2,0,1,1,0,1,2,1,0,0.6955
2,0,1,1,0,1,2,1,1,0.6955
2,0,1,1,0,1,2,2,0,0.6955
2,0,1,1,0,1,2,2,1,0.6955
2,0,1,1,1,0,1,0,0,0.6941
2,0,1,1,1,0,1,0,1,0.6941
2,0,1,1,1,0,1,1,0,0.6955
2,0,1,1,1,0,1,1,1,0.6955
2,0,1,1,1,0,1,2,0,0.6955
2,0,1,1,1,0,1,2,1,0.6955
2,0,1,1,1,0,2,0,0,0.6941
2,0,1,1,1,0,2,0,1,0.6941
2,0,1,1,1,0,2,1,0,0.6955
2,0,1,1,1,0,2,1,1,0.6955
2,0,1,1,1,0,2,2,0,0.6955
2,0,1,1,1,0,2,2,1,0.6955
2,0,1,1,1,1,1,0,0,0.6941
2,0,1,1,1,1,1,0,1,0.6941
2,0,1,1,1,1,1,1,0,0.6955
2,0,1,1,1,1,1,1,1,0.6955
2,0,1,1,1,1,1,2,0,0.6955
2,0,1,1,1,1,1,2,1,0.6955
2,0,1,1,1,1,2,0,0,0.6941
2,0,1,1,1,1,2,0,1,0.6941
2,0,1,1,1,1,2,1,0,0.6955
2,0,1,1,1,1,2,1,1,0.6955
2,0,1,1,1,1,2,2,0,0.6955
2,0,1,1,1,1,2,2,1,0.6955
2,1,0,0,0,0,1,0,0,0.6941
2,1,0,0,0,0,1,0,1,0.6941
2,1,0,0,0,0,1,1,0,0.6955
2,1,0,0,0,0,1,1,1,0.6955
2,1,0,0,0,0,1,2,0,0.6955
2,1,0,0,0,0,1,2,1,0.6955
2,1,0,0,0,0,2,0,0,0.6941
2,1,0,0,0,0,2,0,1,0.6941
2,1,0,0,0,0,2,1,0,0.6955
2,1,0,0,0,0,2,1,1,0.6955
2,1,0,0,0,0,2,2,0,0.6955
2,1,0,0,0,0,2,2,1,0.6955
2,1,0,0,0,1,1,0,0,0.6941
2,1,0,0,0,1,1,0,1,0.6941
2,1,0,0,0,1,1,1,0,0.6955
2,1,0,0,0,1,1,1,1,0.6955
2,1,0,0,0,1,1,2,0,0.6955
2,1,0,0,0,1,1,2,1,0.6955
2,1,0,0,0,1,2,0,0,0.6941
2,1,0,0,0,1,2,0,1,0.6941
2,1,0,0,0,1,2,1,0,0.6955
2,1,0,0,0,1,2,1,1,0.6955
2,1,0,0,0,1,2,2,0,0.6955
2,1,0,0,0,1,2,2,1,0.6955
2,1,0,0,1,0,1,0,0,0.6941
2,1,0,0,1,0,1,0,1,0.6941
2,1,0,0,1,0,1,1,0,0.6955
2,1,0,0,1,0,1,1,1,0.6955
2,1,0,0,1,0,1,2,0,0.6955
2,1,0,0,1,0,1,2,1,0.6955
2,1,0,0,1,0,2,0,0,0.6941
2,1,0,0,1,0,2,0,1,0.6941
2,1,0,0,1,0,2,1,0,0.6955
2,1,0,0,1,0,2,1,1,0.6955
2,1,0,0,1,0,2,2,0,0.6955
2,1,0,0,1,0,2,2,1,0.6955
2,1,0,0,1,1,1,0,0,0.6941
2,1,0,0,1,1,1,0,1,0.6941
2,1,0,0,1,1,1,1,0,0.6955
2,1,0,0,1,1,1,1,1,0.6955
2,1,0,0,1,1,1,2,0,0.6955
2,1,0,0,1,1,1,2,1,0.6955
2,1,0,0,1,1,2,0,0,0.6941
2,1,0,0,1,1,2,0,1,0.6941
2,1,0,0,1,1,2,1,0,0.6955
2,1,0,0,1,1,2,1,1,0.6955
2,1,0,0,1,1,2,2,0,0.6955
2,1,0,0,1,1,2,2,1,0.6955
2,1,0,1,0,0,1,0,0,0.6941
2,1,0,1,0,0,1,0,1,0.6941
2,1,0,1,0,0,1,1,0,0.6955
2,1,0,1,0,0,1,1,1,0.6955
2,1,0,1,0,0,1,2,0,0.6955
2,1,0,1,0,0,1,2,1,0.6955
2,1,0,1,0,0,2,0,0,0.6941
2,1,0,1,0,0,2,0,1,0.6941
2,1,0,1,0,0,2,1,0,0.6955
2,1,0,1,0,0,2,1,1,0.6955
2,1,0,1,0,0,2,2,0,0.6955
2,1,0,1,0,0,2,2,1,0.6955
2,1,0,1,0,1,1,0,0,0.6941
2,1,0,1,0,1,1,0,1,0.6941
2,1,0,1,0,1,1,1,0,0.6955
2,1,0,1,0,1,1,1,1,0.6955
2,1,0,1,0,1,1,2,0,0.6955
2,1,0,1,0,1,1,2,1,0.6955
2,1,0,1,0,1,2,0,0,0.6941
2,1,0,1,0,1,2,0,1,0.6941
2,1,0,1,0,1,2,1,0,0.6955
2,1,0,1,0,1,2,1,1,0.6955
2,1,0,1,0,1,2,2,0,0.6955
2,1,0,1,0,1,2,2,1,0.6955
2,1,0,1,1,0,1,0,0,0.6941
2,1,0,1,1,0,1,0,1,0.6941
2,1,0,1,1,0,1,1,0,0.6955
2,1,0,1,1,0,1,1,1,0.6955
2,1,0,1,1,0,1,2,0,0.6955
2,1,0,1,1,0,1,2,1,0.6955
2,1,0,1,1,0,2,0,0,0.6941
2,1,0,1,1,0,2,0,1,0.6941
2,1,0,1,1,0,2,1,0,0.6955
2,1,0,1,1,0,2,1,1,0.6955
2,1,0,1,1,0,2,2,0,0.6955
2,1,0,1,1,0,2,2,1,0.6955
2,1,0,1,1,1,1,0,0,0.6941
2,1,0,1,1,1,1,0,1,0.6941
2,1,0,1,1,1,1,1,0,0.6955
2,1,0,1,1,1,1,1,1,0.6955
2,1,0,1,1,1,1,2,0,0.6955
2,1,0,1,1,1,1,2,1,0.6955
2,1,0,1,1,1,2,0,0,0.6941
2,1,0,1,1,1,2,0,1,0.6941
2,1,0,1,1,1,2,1,0,0.6955
2,1,0,1,1,1,2,1,1,0.6955
2,1,0,1,1,1,2,2,0,0.6955
2,1,0,1,1,1,2,2,1,0.6955
2,1,1,0,0,0,1,0,0,0.6941
2,1,1,0,0,0,1,0,1,0.6941
2,1,1,0,0,0,1,1,0,0.6955
2,1,1,0,0,0,1,1,1,0.6955
2,1,1,0,0,0,1,2,0,0.6955
2,1,1,0,0,0,1,2,1,0.6955
2,1,1,0,0,0,2,0,0,0.6941
2,1,1,0,0,0,2,0,1,0.6941
2,1,1,0,0,0,2,1,0,0.6955
2,1,1,0,0,0,2,1,1,0.6955
2,1,1,0,0,0,2,2,0,0.6955
2,1,1,0,0,0,2,2,1,0.6955
2,1,1,0,0,1,1,0,0,0.6941
2,1,1,0,0,1,1,0,1,0.6941
2,1,1,0,0,1,1,1,0,0.6955
2,1,1,0,0,1,1,1,1,0.6955
2,1,1,0,0,1,1,2,0,0.6955
2,1,1,0,0,1,1,2,1,0.6955
2,1,1,0,0,1,2,0,0,0.6941
2,1,1,0,0,1,2,0,1,0.6941
2,1,1,0,0,1,2,1,0,0.6955
2,1,1,0,0,1,2,1,1,0.6955
2,1,1,0,0,1,2,2,0,0.6955
2,1,1,0,0,1,2,2,1,0.6955
2,1,1,0,1,0,1,0,0,0.6941
2,1,1,0,1,0,1,0,1,0.6941
2,1,1,0,1,0,1,1,0,0.6955
2,1,1,0,1,0,1,1,1,0.6955
2,1,1,0,1,0,1,2,0,0.6955
2,1,1,0,1,0,1,2,1,0.6955
2,1,1,0,1,0,2,0,0,0.6941
2,1,1,0,1,0,2,0,1,0.6941
2,1,1,0,1,0,2,1,0,0.6955
2,1,1,0,1,0,2,1,1,0.6955
2,1,1,0,1,0,2,2,0,0.6955
2,1,1,0,1,0,2,2,1,0.6955
2,1,1,0,1,1,1,0,0,0.6941
2,1,1,0,1,1,1,0,1,0.6941
2,1,1,0,1,1,1,1,0,0.6955
2,1,1,0,1,1,1,1,1,0.6955
2,1,1,0,1,1,1,2,0,0.6955
2,1,1,0,1,1,1,2,1,0.6955
2,1,1,0,1,1,2,0,0,0.6941
2,1,1,0,1,1,2,0,1,0.6941
2,1,1,0,1,1,2,1,0,0.6955
2,1,1,0,1,1,2,1,1,0.6955
2,1,1,0,1,1,2,2,0,0.6955
2,1,1,0,1,1,2,2,1,0.6955
2,1,1,1,0,0,1,0,0,0.6941
2,1,1,1,0,0,1,0,1,0.6941
2,1,1,1,0,0,1,1,0,0.6955
2,1,1,1,0,0,1,1,1,0.6955
2,1,1,1,0,0,1,2,0,0.6955
2,1,1,1,0,0,1,2,1,0.6955
2,1,1,1,0,0,2,0,0,0.6941
2,1,1,1,0,0,2,0,1,0.6941
2,1,1,1,0,0,2,1,0,0.6955
2,1,1,1,0,0,2,1,1,0.6955
2,1,1,1,0,0,2,2,0,0.6955
2,1,1,1,0,0,2,2,1,0.6955
2,1,1,1,0,1,1,0,0,0.6941
2,1,1,1,0,1,1,0,1,0.6941
2,1,1,1,0,1,1,1,0,0.6955
2,1,1,1,0,1,1,1,1,0.6955
2,1,1,1,0,1,1,2,0,0.6955
2,1,1,1,0,1,1,2,1,0.6955
2,1,1,1,0,1,2,0,0,0.6941
2,1,1,1,0,1,2,0,1,0.6941
2,1,1,1,0,1,2,1,0,0.6955
2,1,1,1,0,1,2,1,1,0.6955
2,1,1,1,0,1,2,2,0,0.6955
2,1,1,1,0,1,2,2,1,0.6955
2,1,1,1,1,0,1,0,0,0.6941
2,1,1,1,1,0,1,0,1,0.6941
2,1,1,1,1,0,1,1,0,0.6955
2,1,1,1,1,0,1,1,1,0.6955
2,1,1,1,1,0,1,2,0,0.6955
2,1,1,1,1,0,1,2,1,0.6955
2,1,1,1,1,0,2,0,0,0.6941
2,1,1,1,1,0,2,0,1,0.6941
2,1,1,1,1,0,2,1,0,0.6955
2,1,1,1,1,0,2,1,1,0.6955
2,1,1,1,1,0,2,2,0,0.6955
2,1,1,1,1,0,2,2,1,0.6955
2,1,1,1,1,1,1,0,0,0.6941
2,1,1,1,1,1,1,0,1,0.6941
2,1,1,1,1,1,1,1,0,0.6955
2,1,1,1,1,1,1,1,1,0.6955
2,1,1,1,1,1,1,2,0,0.6955
2,1,1,1,1,1,1,2,1,0.6955
2,1,1,1,1,1,2,0,0,0.6941
2,1,1,1,1,1,2,0,1,0.6941
2,1,1,1,1,1,2,1,0,0.6955
2,1,1,1,1,1,2,1,1,0.6955
2,1,1,1,1,1,2,2,0,0.6955
2,1,1,1,1,1,2,2,1,0.6955
3,0,0,0,0,0,1,0,0,0.6941
3,0,0,0,0,0,1,0,1,0.6941
3,0,0,0,0,0,1,1,0,0.6955
3,0,0,0,0,0,1,1,1,0.6955
3,0,0,0,0,0,1,2,0,0.6955
3,0,0,0,0,0,1,2,1,0.6955
3,0,0,0,0,0,2,0,0,0.6941
3,0,0,0,0,0,2,0,1,0.6941
3,0,0,0,0,0,2,1,0,0.6955
3,0,0,0,0,0,2,1,1,0.6955
3,0,0,0,0,0,2,2,0,0.6955
3,0,0,0,0,0,2,2,1,0.6955
3,0,0,0,0,1,1,0,0,0.6941
3,0,0,0,0,1,1,0,1,0.6941
3,0,0,0,0,1,1,1,0,0.6955
3,0,0,0,0,1,1,1,1,0.6955
3,0,0,0,0,1,1,2,0,0.6955
3,0,0,0,0,1,1,2,1,0.6955
3,0,0,0,0,1,2,0,0,0.6941
3,0,0,0,0,1,2,0,1,0.6941
3,0,0,0,0,1,2,1,0,0.6955
3,0,0,0,0,1,2,1,1,0.6955
3,0,0,0,0,1,2,2,0,0.6955
3,0,0,0,0,1,2,2,1,0.6955
3,0,0,0,1,0,1,0,0,0.6941
3,0,0,0,1,0,1,0,1,0.6941
3,0,0,0,1,0,1,1,0,0.6955
3,0,0,0,1,0,1,1,1,0.6955
3,0,0,0,1,0,1,2,0,0.6955
3,0,0,0,1,0,1,2,1,0.6955
3,0,0,0,1,0,2,0,0,0.6941
3,0,0,0,1,0,2,0,1,0.6941
3,0,0,0,1,0,2,1,0,0.6955
3,0,0,0,1,0,2,1,1,0.6955
3,0,0,0,1,0,2,2,0,0.6955
3,0,0,0,1,0,2,2,1,0.6955
3,0,0,0,1,1,1,0,0,0.6941
3,0,0,0,1,1,1,0,1,0.6941
3,0,0,0,1,1,1,1,0,0.6955
3,0,0,0,1,1,1,1,1,0.6955
3,0,0,0,1,1,1,2,0,0.6955
3,0,0,0,1,1,1,2,1,0.6955
3,0,0,0,1,1,2,0,0,0.6941
3,0,0,0,1,1,2,0,1,0.6941
3,0,0,0,1,1,2,1,0,0.6955
3,0,0,0,1,1,2,1,1,0.6955
3,0,0,0,1,1,2,2,0,0.6955
3,0,0,0,1,1,2,2,1,0.6955
3,0,0,1,0,0,1,0,0,0.6941
3,0,0,1,0,0,1,0,1,0.6941
3,0,0,1,0,0,1,1,0,0.6955
3,0,0,1,0,0,1,1,1,0.6955
3,0,0,1,0,0,1,2,0,0.6955
3,0,0,1,0,0,1,2,1,0.6955
3,0,0,1,0,0,2,0,0,0.6941
